id,title,year,priority_year,publication_year,assignees,domains,cpc_groups,cpc_codes,ipc_groups,ipc_codes,concepts,countries,legal_state,focus
103674986,Use of a porous recycling layer for co2 electroreduction to multicarbon products with high conversion efficiency,2021,2021,2025,UNIVERSITY OF TORONTO,"Electrical machinery, apparatus, energy; Materials, metallurgy; Surface technology, coating",C25B; H01M,C25B-003/03; C25B-003/07; C25B-003/26; C25B-009/23; C25B-011/032; C25B-011/081; C25B-013/02; C25B-015/087; H01M-004/86/05; H01M-004/86/57,C01G; C25B; H01M,C01G-003/00; C01G-005/00; C25B-003/03; C25B-003/07; C25B-003/26; C25B-009/23; C25B-011/032; C25B-011/081,BIPOLAR MEMBRANE ELECTRODE ASSEMBLY; CONVERSION EFFICIENCY; MEMBRANE ELECTRODE ASSEMBLY; MULTICARBON PRODUCT; MULTILAYER CATHODE,US; CA,ALIVE,MEA; AEM; Non-noble candidate; GDE
69060627,Iron-based catalyst for selective electrochemical reduction of CO2 into CO,2013,2013,2016,CNRS; UNIVERSITE PARIS CITE / PARIS DIDEROT,"Surface technology, coating",C25B,C25B-001/00; C25B-001/23; C25B-009/06; C25B-009/17,C25B,C25B-009/17,CO2 ELECTROCHEMICAL REDUCTION; IRON CATALYST; FORMULA PORPHYRIN; GASEOUS CO2; UNDESIRED BYPRODUCT,US; FR,ALIVE,Non-noble candidate
69208275,Iron-based catalyst for selective electrochemical reduction of CO2 into CO,2013,2013,2015,CNRS; UNIVERSITE PARIS CITE / PARIS DIDEROT,Organic fine chemistry,,,C07F,C07F-015/02,CO2 ELECTROCHEMICAL REDUCTION; IRON CATALYST; FORMULA PORPHYRIN; GASEOUS CO2; IRON PORPHYRIN CATALYST; GASEOUS CO2 SOURCE; ELECTROLYTE SOLUTION; IRON PORPHYRIN; CARBON CRUCIBLE; FE TDHPP CATALYST,AU,DEAD,Non-noble candidate
73827816,Selective porphyrin-catalyzed electrochemical reduction of co2 into co in water,2015,2015,2020,CNRS; UNIVERSITE PARIS CITE / PARIS DIDEROT,"Chemical engineering; Materials, metallurgy; Organic fine chemistry; Surface technology, coating",C07F; C25B; Y02E,C07F-015/02/5; C25B-001/00; C25B-001/04; C25B-001/10; C25B-009/08; C25B-009/19; C25B-009/73; C25B-011/04/05; C25B-011/04/15; C25B-011/04/89,B01J; C01B; C07D; C07F; C25B,B01J-031/22; C01B-032/40; C07D-487/22; C07F-015/02; C25B-009/19,AQUEOUS SOLUTION; AQUEOUS SOLUTION PH; CATALYST; CATALYST ELECTROCHEMICAL REDUCTION; CO H; FORMULA PORPHYRIN; GAS PRODUCTION,EP; FR,ALIVE,Non-noble candidate
68986421,Iron-based catalyst for selective electrochemcial reduction of co2 into co,2013,2013,2015,CNRS; UNIVERSITE PARIS CITE / PARIS DIDEROT,"Chemical engineering; Surface technology, coating",B01J; C25B,B01J-031/18/15; B01J-2231/625; B01J-2531/025; B01J-2531/842; C25B-001/00; C25B-011/043,B01J; C25B,B01J-031/22; C25B-001/00,CO2 ELECTROCHEMCIAL REDUCTION; ELECTROCHEMCIAL REDUCTION; IRON CATALYST; CO2 ELECTROCHEMICAL REDUCTION; FORMULA PORPHYRIN; GASEOUS CO2; IRON PORPHYRIN CATALYST; GASEOUS CO2 SOURCE; ELECTROLYTE SOLUTION; IRON PORPHYRIN,CA; FR,DEAD,Non-noble candidate
93504955,Method and device for the production of carbon monoxide,2019,2019,2025,FORSCHUNGSZENTRUM JUELICH,"Materials, metallurgy; Surface technology, coating",C25B; Y02E; Y02P,C25B-001/00; C25B-001/02; C25B-001/042; C25B-001/23; C25B-001/50; C25B-009/23; C25B-009/67; C25B-015/021; C25B-015/08; C25B-015/083,C01B; C25B,C01B-032/40; C25B-001/00; C25B-001/02; C25B-001/042; C25B-001/23; C25B-001/50; C25B-009/00; C25B-009/19,CARBON MONOXIDE PRODUCTION; HUMIDIFIED EDUCT GAS; HUMIDIFIED REACTANT GAS; PRODUCING CARBON MONOXIDE,DE; NL,ALIVE,Non-noble candidate
105555372,Process for CO2 reduction to CO of natural gas,2023,2023,2023,SHANGHAI JIAO TONG UNIVERSITY,"Basic materials chemistry; Surface technology, coating",C10L; C25B; Y02A,C10L-003/10/4; C25B-001/23; C25B-001/50; C25B-011/032; C25B-011/052; C25B-011/065; C25B-011/085; Y02A-050/20,C10L; C25B,C10L-003/10; C25B-001/23; C25B-001/50; C25B-011/032; C25B-011/052; C25B-011/065; C25B-011/085,NATURAL GAS; REDUCTION; COBALT PHTHALOCYANINE CATALYST INK; POTENTIOSTAT; POTASSIUM BICARBONATETHE SOLUTION; COBALT PHTHALOCYANINE; GAS DIFFUSION ELECTROCHEMICAL REACTOR; ELECTROLYTE; COUNTER ELECTRODE; POLYTETRAFLUOROETHYLENE MODIFIED CARBON PAPER,CN,ALIVE,Non-noble candidate; GDE
78510702,"Selective porphyrin-catalyzed electrochemical reduction of co2 into co, in particular in water",2016,2016,2020,CNRS; UNIVERSITE PARIS CITE / PARIS DIDEROT,"Chemical engineering; Materials, metallurgy; Organic fine chemistry; Surface technology, coating",B01J; C01B; C07D; C07F; C25B; Y02E,B01J-031/18/15; B01J-2231/625; B01J-2531/025; B01J-2531/842; C01B-032/40; C07D-487/22; C07F-015/02/5; C25B-001/00; C25B-001/01; C25B-001/04,B01J; C01B; C07D; C07F; C25B,B01J-031/18; C01B-032/40; C07D-487/22; C07F-015/02; C25B-001/00; C25B-011/12,FORMULA PORPHYRIN; FORMULA RPHYRIN; IRON; PORPHYRIN CATALYZED ELECTROCHEMICAL REDUCTION; CATHODE COMPARTMENT,EP; FR; US,ALIVE,Non-noble candidate
64469752,Process for production of high purity carbon monoxide,2012,2012,2021,TOPSOE,"Materials, metallurgy; Organic fine chemistry; Surface technology, coating",C07C; C25B; Y02E,C07C-051/10; C25B-001/00; C25B-001/02; C25B-001/23; C25B-009/05; C25B-009/18; C25B-009/70; Y02E-060/36,C01B; C07C; C25B,C01B-032/40; C07C-051/10; C25B-001/02; C25B-001/23; C25B-003/25; C25B-009/18; C25B-009/70,CO2 ELECTROLYSIS; ELECTROLYZER EFFLUENT; GAS SEPARATION; METHANEDIONE CO2IN; METHANEDIONE ELECTROLYSIS,WO; DK; SE,ALIVE,Non-noble candidate
71292352,Porphyrin molecular catalysts for selective electrochemical reduction of co2 into co,2014,2014,2020,CNRS; UNIVERSITE PARIS CITE / PARIS DIDEROT,"Chemical engineering; Materials, metallurgy; Organic fine chemistry; Surface technology, coating",B01J; C01B; C07D; C07F; C25B,B01J-031/18/3; B01J-2231/62; B01J-2531/025; B01J-2531/842; C01B-031/18; C01B-032/40; C07D-487/22; C07F-015/02/5; C25B-001/00; C25B-009/00,B01J; C01B; C07D; C07F; C25B,B01J-031/22; B01J-037/34; C01B-032/40; C07D-487/22; C07F-015/02; C25B-003/04; C25B-003/25,ALKYL; CATALYST MOLECULE; CO2 ELECTROCHEMICAL REDUCTION,EP; FR,ALIVE,Non-noble candidate
112883886,Low temperature electrochemical production of carbon monoxide,2023,2023,2025,UTILITY GLOBAL,"Surface technology, coating",C25B,C25B-001/23; C25B-005/00; C25B-009/19; C25B-009/23; C25B-011/042; C25B-011/052; C25B-011/077; C25B-013/05; C25B-013/07,C25B,C25B-001/23; C25B-003/26; C25B-009/015; C25B-009/19; C25B-011/042; C25B-013/07; C25B-015/02,ELECTROCHEMICAL REACTOR; TEMPERATURE ELECTROCHEMICAL PRODUCTION; ELECTRICITY; LIQUEFACTION EXTENT,US,ALIVE,Non-noble candidate
