source,target,relation,weight,patent
patent::103674986,assignee::UNIVERSITY OF TORONTO,patent_assignee,1,103674986
patent::103674986,"domain::Electrical machinery, apparatus, energy",patent_domain,1,103674986
patent::103674986,"domain::Materials, metallurgy",patent_domain,1,103674986
patent::103674986,"domain::Surface technology, coating",patent_domain,1,103674986
patent::103674986,cpc_group::C25B,patent_cpc_group,1,103674986
patent::103674986,cpc_group::H01M,patent_cpc_group,1,103674986
patent::103674986,cpc_code::C25B-003/03,patent_cpc_code,1,103674986
patent::103674986,cpc_code::C25B-003/07,patent_cpc_code,1,103674986
patent::103674986,cpc_code::C25B-003/26,patent_cpc_code,1,103674986
patent::103674986,cpc_code::C25B-009/23,patent_cpc_code,1,103674986
patent::103674986,cpc_code::C25B-011/032,patent_cpc_code,1,103674986
patent::103674986,cpc_code::C25B-011/081,patent_cpc_code,1,103674986
patent::103674986,cpc_code::C25B-013/02,patent_cpc_code,1,103674986
patent::103674986,cpc_code::C25B-015/087,patent_cpc_code,1,103674986
patent::103674986,cpc_code::H01M-004/86/05,patent_cpc_code,1,103674986
patent::103674986,cpc_code::H01M-004/86/57,patent_cpc_code,1,103674986
patent::103674986,ipc_group::C01G,patent_ipc_group,1,103674986
patent::103674986,ipc_group::C25B,patent_ipc_group,1,103674986
patent::103674986,ipc_group::H01M,patent_ipc_group,1,103674986
patent::103674986,ipc_code::C01G-003/00,patent_ipc_code,1,103674986
patent::103674986,ipc_code::C01G-005/00,patent_ipc_code,1,103674986
patent::103674986,ipc_code::C25B-003/03,patent_ipc_code,1,103674986
patent::103674986,ipc_code::C25B-003/07,patent_ipc_code,1,103674986
patent::103674986,ipc_code::C25B-003/26,patent_ipc_code,1,103674986
patent::103674986,ipc_code::C25B-009/23,patent_ipc_code,1,103674986
patent::103674986,ipc_code::C25B-011/032,patent_ipc_code,1,103674986
patent::103674986,ipc_code::C25B-011/081,patent_ipc_code,1,103674986
patent::103674986,concept::BIPOLAR MEMBRANE ELECTRODE ASSEMBLY,patent_concept,1,103674986
patent::103674986,concept::CONVERSION EFFICIENCY,patent_concept,1,103674986
patent::103674986,concept::MEMBRANE ELECTRODE ASSEMBLY,patent_concept,1,103674986
patent::103674986,concept::MULTICARBON PRODUCT,patent_concept,1,103674986
patent::103674986,concept::MULTILAYER CATHODE,patent_concept,1,103674986
patent::103674986,country::US,patent_country,1,103674986
patent::103674986,country::CA,patent_country,1,103674986
patent::103674986,priority_year::2021,patent_priority_year,1,103674986
patent::103674986,legal_state::ALIVE,patent_legal_state,1,103674986
patent::103674986,focus::MEA,patent_focus,1,103674986
patent::103674986,focus::AEM,patent_focus,1,103674986
patent::103674986,focus::Non-noble candidate,patent_focus,1,103674986
patent::103674986,focus::GDE,patent_focus,1,103674986
patent::69060627,assignee::CNRS,patent_assignee,1,69060627
patent::69060627,assignee::UNIVERSITE PARIS CITE / PARIS DIDEROT,patent_assignee,1,69060627
patent::69060627,"domain::Surface technology, coating",patent_domain,1,69060627
patent::69060627,cpc_group::C25B,patent_cpc_group,1,69060627
patent::69060627,cpc_code::C25B-001/00,patent_cpc_code,1,69060627
patent::69060627,cpc_code::C25B-001/23,patent_cpc_code,1,69060627
patent::69060627,cpc_code::C25B-009/06,patent_cpc_code,1,69060627
patent::69060627,cpc_code::C25B-009/17,patent_cpc_code,1,69060627
patent::69060627,ipc_group::C25B,patent_ipc_group,1,69060627
patent::69060627,ipc_code::C25B-009/17,patent_ipc_code,1,69060627
patent::69060627,concept::CO2 ELECTROCHEMICAL REDUCTION,patent_concept,1,69060627
patent::69060627,concept::IRON CATALYST,patent_concept,1,69060627
patent::69060627,concept::FORMULA PORPHYRIN,patent_concept,1,69060627
patent::69060627,concept::GASEOUS CO2,patent_concept,1,69060627
patent::69060627,concept::UNDESIRED BYPRODUCT,patent_concept,1,69060627
patent::69060627,country::US,patent_country,1,69060627
patent::69060627,country::FR,patent_country,1,69060627
patent::69060627,priority_year::2013,patent_priority_year,1,69060627
patent::69060627,legal_state::ALIVE,patent_legal_state,1,69060627
patent::69060627,focus::Non-noble candidate,patent_focus,1,69060627
patent::69208275,assignee::CNRS,patent_assignee,1,69208275
