view,source,target,weight,patents
assignee_cpc_group,assignee::TOSHIBA,cpc_group::C25B,35,106574607; 86048379; 93172689; 104039102; 96200627; 104037474; 101790584; 106413273; 98850824; 83773883; 111591386; 116737142; 87919716; 81386945; 96200636; 81302402; 118081624; 87919517; 86130749; 106495795; 113753877; 81386940; 108896443; 93172692; 106586888; 108863955; 108863961; 111493424; 118081631; 90361734
assignee_cpc_group,assignee::SIEMENS ENERGY,cpc_group::C25B,34,107278856; 77202004; 89744192; 77016544; 85758116; 77244658; 93813175; 82018818; 78242503; 78286428; 79296485; 75026979; 83051660; 77856561; 77856556; 85758103; 87171430; 85684691; 93812412; 84413562; 89416407; 75262842; 87171527; 97217510; 92569265; 79163034; 91738840; 85011701; 85758108; 94204081
assignee_cpc_group,assignee::TOSHIBA,cpc_group::Y02E,26,105393249; 86048379; 93172689; 104039102; 96200627; 104037474; 101790584; 106413273; 98850824; 83773883; 87919716; 81386945; 81302402; 87919517; 86130749; 106495795; 81386940; 108896443; 93172692; 108863961; 118081631; 90361734; 101790589; 101790586; 117920056; 113559831
assignee_cpc_group,assignee::SIEMENS ENERGY,cpc_group::Y02E,11,77202004; 77016544; 85758116; 77244658; 87171430; 85684691; 84413562; 75262842; 97217510; 85758108; 91085959
assignee_cpc_group,assignee::SIEMENS ENERGY,cpc_group::Y02P,10,85758116; 79296485; 85758103; 87171430; 85684691; 93812412; 79163034; 85758108; 73079791; 91085959
assignee_cpc_group,assignee::LG CHEM,cpc_group::C25B,9,113653423; 112678154; 113067654; 113653441; 112678146; 114305656; 118157483; 109306069; 113645537
assignee_cpc_group,assignee::DALIAN UNIVERSITY OF TECHNOLOGY,cpc_group::C25B,8,98749181; 80164805; 102358496; 86637940; 96169624; 108306014; 116876860; 102226793
assignee_cpc_group,assignee::KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY,cpc_group::C25B,8,100427008; 98164251; 100252610; 88204087; 105028031; 116293199; 111363754; 116434365
assignee_cpc_group,assignee::TOPSOE,cpc_group::C25B,8,64469752; 100674664; 73295054; 86310831; 86310832; 103607055; 95617533; 101955362
assignee_cpc_group,assignee::TOPSOE,cpc_group::Y02E,7,64469752; 100674664; 86310831; 86310832; 103607055; 95617533; 101955362
assignee_cpc_group,assignee::TOSHIBA,cpc_group::Y02P,7,93172689; 104039102; 104037474; 101790584; 98850824; 96200636; 93172692
assignee_cpc_group,assignee::TOYOTA MOTOR,cpc_group::C25B,7,72753605; 55016601; 44672238; 44668494; 46248577; 109304100; 118083135
assignee_cpc_group,assignee::CNRS,cpc_group::C25B,6,69060627; 73827816; 68986421; 78510702; 71292352; 92464691
assignee_cpc_group,assignee::UNIVERSITE PARIS CITE / PARIS DIDEROT,cpc_group::C25B,6,69060627; 73827816; 68986421; 78510702; 71292352; 92464691
assignee_cpc_group,assignee::ZHEJIANG UNIVERSITY,cpc_group::C25B,6,92423180; 112046649; 98666426; 89550408; 112590590; 101562974
assignee_cpc_group,assignee::DIOXIDE MATERIALS,cpc_group::C25B,5,79681795; 44789699; 116105015; 72680476; 1913318
